Date	Sleep	SleepStage	ID	Session
20150608_04-25-38	sleep	2	4029	E1
20150608_04-26-08	sleep	2	4029	E1
20150608_04-26-38	sleep	2	4029	E1
20150608_04-27-08	sleep	2	4029	E1
20150608_04-27-38	sleep	2	4029	E1
20150608_04-28-08	sleep	2	4029	E1
20150608_04-28-38	sleep	2	4029	E1
20150608_04-29-08	sleep	2	4029	E1
20150608_04-29-38	sleep	2	4029	E1
20150608_04-30-08	sleep	2	4029	E1
20150608_04-30-38	sleep	2	4029	E1
20150608_04-31-08	sleep	2	4029	E1
20150608_04-31-38	sleep	2	4029	E1
20150608_04-32-08	sleep	2	4029	E1
20150608_04-32-38	sleep	2	4029	E1
20150608_04-33-08	sleep	2	4029	E1
20150608_04-33-38	sleep	2	4029	E1
20150608_04-34-08	sleep	2	4029	E1
20150608_04-34-38	sleep	2	4029	E1
20150608_04-35-08	sleep	2	4029	E1
20150608_04-35-38	sleep	2	4029	E1
20150608_04-36-08	sleep	2	4029	E1
20150608_04-36-38	sleep	2	4029	E1
20150608_04-37-08	sleep	3	4029	E1
20150608_04-37-38	sleep	3	4029	E1
20150608_04-38-08	sleep	3	4029	E1
20150608_04-38-38	sleep	3	4029	E1
20150608_04-39-08	sleep	3	4029	E1
20150608_04-39-38	sleep	3	4029	E1
20150608_04-40-08	sleep	3	4029	E1
20150608_04-40-38	sleep	3	4029	E1
20150608_04-41-08	sleep	3	4029	E1
20150608_04-41-38	sleep	3	4029	E1
20150608_04-42-08	sleep	3	4029	E1
20150608_04-42-38	sleep	3	4029	E1
20150608_04-43-08	sleep	3	4029	E1
20150608_04-43-38	sleep	3	4029	E1
20150608_04-44-08	sleep	3	4029	E1
20150608_04-44-38	sleep	3	4029	E1
20150608_04-45-08	sleep	3	4029	E1
20150608_04-45-38	sleep	3	4029	E1
20150608_04-46-08	sleep	3	4029	E1
20150608_04-46-38	sleep	3	4029	E1
20150608_04-47-38	sleep	3	4029	E1
20150608_04-48-08	sleep	3	4029	E1
20150608_04-48-38	sleep	3	4029	E1
20150608_04-49-08	sleep	3	4029	E1
20150608_04-49-38	sleep	3	4029	E1
20150608_04-50-08	sleep	3	4029	E1
20150608_04-50-38	sleep	3	4029	E1
20150608_04-51-08	sleep	3	4029	E1
20150608_04-51-38	sleep	3	4029	E1
20150608_04-52-08	sleep	3	4029	E1
20150608_04-52-38	sleep	3	4029	E1
20150608_04-53-08	sleep	3	4029	E1
20150608_04-53-38	sleep	3	4029	E1
20150608_04-54-08	sleep	3	4029	E1
20150608_04-54-38	sleep	3	4029	E1
20150608_04-55-08	sleep	3	4029	E1
20150608_04-55-38	sleep	3	4029	E1
20150608_04-56-08	sleep	3	4029	E1
20150608_04-56-38	sleep	3	4029	E1
20150608_04-57-08	sleep	3	4029	E1
20150608_04-57-38	sleep	3	4029	E1
20150608_04-58-08	sleep	3	4029	E1
20150608_04-58-38	sleep	3	4029	E1
20150608_04-59-08	sleep	3	4029	E1
20150608_04-59-38	sleep	3	4029	E1
20150608_05-00-08	sleep	3	4029	E1
20150608_05-00-38	sleep	3	4029	E1
20150608_05-01-08	sleep	3	4029	E1
20150608_05-01-38	sleep	3	4029	E1
20150608_05-02-08	sleep	3	4029	E1
20150608_05-02-38	sleep	3	4029	E1
20150608_05-03-08	sleep	3	4029	E1
20150608_05-03-38	sleep	3	4029	E1
20150608_05-04-08	sleep	3	4029	E1
20150608_05-04-38	sleep	3	4029	E1
20150608_05-05-08	sleep	3	4029	E1
20150608_05-05-38	sleep	3	4029	E1
20150608_05-06-08	sleep	3	4029	E1
20150608_05-06-38	sleep	3	4029	E1
20150608_05-07-08	sleep	3	4029	E1
20150608_05-07-38	sleep	3	4029	E1
20150608_05-08-08	sleep	3	4029	E1
20150608_05-08-38	sleep	3	4029	E1
20150608_05-09-08	sleep	3	4029	E1
20150608_05-09-38	sleep	4	4029	E1
20150608_05-10-08	sleep	4	4029	E1
20150608_05-10-38	sleep	4	4029	E1
20150608_05-10-38	sound	1015 at volume 36044.0	4029	E1
20150608_05-10-53	sound	1015 at volume 36044.0	4029	E1
20150608_05-11-08	sleep	4	4029	E1
20150608_05-11-08	sound	1015 at volume 36044.0	4029	E1
20150608_05-11-23	sound	1015 at volume 36044.0	4029	E1
20150608_05-11-38	sleep	4	4029	E1
20150608_05-11-38	sound	1015 at volume 36044.0	4029	E1
20150608_05-11-53	sound	1015 at volume 36044.0	4029	E1
20150608_05-12-08	sleep	4	4029	E1
20150608_05-12-08	sound	1015 at volume 36044.0	4029	E1
20150608_05-12-23	sound	1015 at volume 36044.0	4029	E1
20150608_05-12-38	sleep	4	4029	E1
20150608_05-12-38	sound	1004 at volume 36044.0	4029	E1
20150608_05-12-53	sound	1004 at volume 36044.0	4029	E1
20150608_05-13-08	sleep	4	4029	E1
20150608_05-13-08	sound	1004 at volume 36044.0	4029	E1
20150608_05-13-23	sound	1004 at volume 36044.0	4029	E1
20150608_05-13-38	sleep	4	4029	E1
20150608_05-13-38	sound	1004 at volume 36044.0	4029	E1
20150608_05-13-53	sound	1004 at volume 36044.0	4029	E1
20150608_05-14-08	sleep	4	4029	E1
20150608_05-14-08	sound	1004 at volume 36044.0	4029	E1
20150608_05-14-23	sound	1004 at volume 36044.0	4029	E1
20150608_05-14-38	sleep	4	4029	E1
20150608_05-14-38	sound	1015 at volume 36044.0	4029	E1
20150608_05-14-53	sound	1015 at volume 36044.0	4029	E1
20150608_05-15-08	sleep	4	4029	E1
20150608_05-15-08	sound	1015 at volume 36044.0	4029	E1
20150608_05-15-23	sound	1015 at volume 36044.0	4029	E1
20150608_05-15-38	sleep	3	4029	E1
20150608_05-15-38	sound	off)	4029	E1
20150608_05-16-08	sleep	3	4029	E1
20150608_05-16-38	sleep	3	4029	E1
20150608_05-17-08	sleep	3	4029	E1
20150608_05-17-38	sleep	3	4029	E1
20150608_05-18-08	sleep	3	4029	E1
20150608_05-18-38	sleep	3	4029	E1
20150608_05-19-08	sleep	3	4029	E1
20150608_05-19-38	sleep	3	4029	E1
20150608_05-20-08	sleep	3	4029	E1
20150608_05-20-38	sleep	3	4029	E1
20150608_05-21-08	sleep	3	4029	E1
20150608_05-21-38	sleep	3	4029	E1
20150608_05-22-08	sleep	3	4029	E1
20150608_05-22-38	sleep	3	4029	E1
20150608_05-23-08	sleep	3	4029	E1
20150608_05-23-38	sleep	3	4029	E1
20150608_05-24-08	sleep	3	4029	E1
20150608_05-24-38	sleep	3	4029	E1
20150608_05-25-08	sleep	3	4029	E1
20150608_05-25-38	sleep	3	4029	E1
20150608_05-26-08	sleep	3	4029	E1
20150608_05-26-38	sleep	3	4029	E1
20150608_05-27-08	sleep	3	4029	E1
20150608_05-27-38	sleep	3	4029	E1
20150608_05-28-08	sleep	3	4029	E1
20150608_05-28-38	sleep	3	4029	E1
20150608_05-29-08	sleep	3	4029	E1
20150608_05-29-38	sleep	3	4029	E1
20150608_05-30-08	sleep	3	4029	E1
20150608_05-30-38	sleep	3	4029	E1
20150608_05-31-08	sleep	3	4029	E1
20150608_05-31-38	sleep	3	4029	E1
20150608_05-32-08	sleep	3	4029	E1
20150608_05-32-38	sleep	3	4029	E1
20150608_05-33-08	sleep	3	4029	E1
20150608_05-33-38	sleep	3	4029	E1
20150608_05-34-08	sleep	3	4029	E1
20150608_05-34-38	sleep	3	4029	E1
20150608_05-35-08	sleep	3	4029	E1
20150608_05-35-38	sleep	3	4029	E1
20150608_05-36-08	sleep	3	4029	E1
20150608_05-36-38	sleep	3	4029	E1
20150608_05-37-08	sleep	3	4029	E1
20150608_05-37-38	sleep	3	4029	E1
20150608_05-38-08	sleep	3	4029	E1
20150608_05-38-38	sleep	3	4029	E1
20150608_05-39-08	sleep	3	4029	E1
20150608_05-39-38	sleep	3	4029	E1
20150608_05-40-08	sleep	3	4029	E1
20150608_05-40-38	sleep	3	4029	E1
20150608_05-41-08	sleep	3	4029	E1
20150608_05-41-38	sleep	3	4029	E1
20150608_05-42-08	sleep	3	4029	E1
20150608_05-42-38	sleep	3	4029	E1
20150608_05-43-08	sleep	3	4029	E1
20150608_05-43-38	sleep	3	4029	E1
20150608_05-44-08	sleep	3	4029	E1
20150608_05-44-38	sleep	3	4029	E1
20150608_05-45-08	sleep	3	4029	E1
20150608_05-45-38	sleep	3	4029	E1
20150608_05-46-08	sleep	3	4029	E1
20150608_05-46-38	sleep	2	4029	E1
20150608_05-47-08	sleep	2	4029	E1
20150608_05-47-38	sleep	1	4029	E1
20150608_05-48-08	sleep	1	4029	E1
20150608_05-48-38	sleep	1	4029	E1
20150608_05-49-08	sleep	3	4029	E1
20150608_05-49-38	sleep	3	4029	E1
20150608_05-50-08	sleep	3	4029	E1
20150608_05-50-38	sleep	3	4029	E1
20150608_05-51-08	sleep	3	4029	E1
20150608_05-51-38	sleep	3	4029	E1
20150608_05-52-08	sleep	3	4029	E1
20150608_05-52-38	sleep	3	4029	E1
20150608_05-53-08	sleep	3	4029	E1
20150608_05-53-38	sleep	3	4029	E1
20150608_05-54-08	sleep	3	4029	E1
20150608_05-54-38	sleep	3	4029	E1
20150608_05-55-08	sleep	3	4029	E1
20150608_05-55-38	sleep	3	4029	E1
20150608_05-56-08	sleep	3	4029	E1
20150608_05-56-38	sleep	3	4029	E1
20150608_05-57-08	sleep	3	4029	E1
